book_id,title,authors,average_rating,text
1,"The Hunger Games (The Hunger Games, #1)",Suzanne Collins,4.34,"The Hunger Games (The Hunger Games, #1) by Suzanne Collins"
2,"Harry Potter and the Sorcerer's Stone (Harry Potter, #1)","J.K. Rowling, Mary GrandPré",4.44,"Harry Potter and the Sorcerer's Stone (Harry Potter, #1) by J.K. Rowling, Mary GrandPré"
3,"Twilight (Twilight, #1)",Stephenie Meyer,3.57,"Twilight (Twilight, #1) by Stephenie Meyer"
4,To Kill a Mockingbird,Harper Lee,4.25,To Kill a Mockingbird by Harper Lee
5,The Great Gatsby,F. Scott Fitzgerald,3.89,The Great Gatsby by F. Scott Fitzgerald
6,The Fault in Our Stars,John Green,4.26,The Fault in Our Stars by John Green
7,The Hobbit,J.R.R. Tolkien,4.25,The Hobbit by J.R.R. Tolkien
8,The Catcher in the Rye,J.D. Salinger,3.79,The Catcher in the Rye by J.D. Salinger
9,"Angels & Demons  (Robert Langdon, #1)",Dan Brown,3.85,"Angels & Demons  (Robert Langdon, #1) by Dan Brown"
10,Pride and Prejudice,Jane Austen,4.24,Pride and Prejudice by Jane Austen
11,The Kite Runner,Khaled Hosseini,4.26,The Kite Runner by Khaled Hosseini
12,"Divergent (Divergent, #1)",Veronica Roth,4.24,"Divergent (Divergent, #1) by Veronica Roth"
13,1984,"George Orwell, Erich Fromm, Celâl Üster",4.14,"1984 by George Orwell, Erich Fromm, Celâl Üster"
14,Animal Farm,George Orwell,3.87,Animal Farm by George Orwell
15,The Diary of a Young Girl,"Anne Frank, Eleanor Roosevelt, B.M. Mooyaart-Doubleday",4.1,"The Diary of a Young Girl by Anne Frank, Eleanor Roosevelt, B.M. Mooyaart-Doubleday"
16,"The Girl with the Dragon Tattoo (Millennium, #1)","Stieg Larsson, Reg Keeland",4.11,"The Girl with the Dragon Tattoo (Millennium, #1) by Stieg Larsson, Reg Keeland"
17,"Catching Fire (The Hunger Games, #2)",Suzanne Collins,4.3,"Catching Fire (The Hunger Games, #2) by Suzanne Collins"
18,"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)","J.K. Rowling, Mary GrandPré, Rufus Beck",4.53,"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3) by J.K. Rowling, Mary GrandPré, Rufus Beck"
19,"The Fellowship of the Ring (The Lord of the Rings, #1)",J.R.R. Tolkien,4.34,"The Fellowship of the Ring (The Lord of the Rings, #1) by J.R.R. Tolkien"
20,"Mockingjay (The Hunger Games, #3)",Suzanne Collins,4.03,"Mockingjay (The Hunger Games, #3) by Suzanne Collins"
21,"Harry Potter and the Order of the Phoenix (Harry Potter, #5)","J.K. Rowling, Mary GrandPré",4.46,"Harry Potter and the Order of the Phoenix (Harry Potter, #5) by J.K. Rowling, Mary GrandPré"
22,The Lovely Bones,Alice Sebold,3.77,The Lovely Bones by Alice Sebold
23,"Harry Potter and the Chamber of Secrets (Harry Potter, #2)","J.K. Rowling, Mary GrandPré",4.37,"Harry Potter and the Chamber of Secrets (Harry Potter, #2) by J.K. Rowling, Mary GrandPré"
24,"Harry Potter and the Goblet of Fire (Harry Potter, #4)","J.K. Rowling, Mary GrandPré",4.53,"Harry Potter and the Goblet of Fire (Harry Potter, #4) by J.K. Rowling, Mary GrandPré"
25,"Harry Potter and the Deathly Hallows (Harry Potter, #7)","J.K. Rowling, Mary GrandPré",4.61,"Harry Potter and the Deathly Hallows (Harry Potter, #7) by J.K. Rowling, Mary GrandPré"
26,"The Da Vinci Code (Robert Langdon, #2)",Dan Brown,3.79,"The Da Vinci Code (Robert Langdon, #2) by Dan Brown"
27,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)","J.K. Rowling, Mary GrandPré",4.54,"Harry Potter and the Half-Blood Prince (Harry Potter, #6) by J.K. Rowling, Mary GrandPré"
28,Lord of the Flies,William Golding,3.64,Lord of the Flies by William Golding
29,Romeo and Juliet,"William Shakespeare, Robert           Jackson",3.73,"Romeo and Juliet by William Shakespeare, Robert           Jackson"
30,Gone Girl,Gillian Flynn,4.03,Gone Girl by Gillian Flynn
31,The Help,Kathryn Stockett,4.45,The Help by Kathryn Stockett
32,Of Mice and Men,John Steinbeck,3.84,Of Mice and Men by John Steinbeck
33,Memoirs of a Geisha,Arthur Golden,4.08,Memoirs of a Geisha by Arthur Golden
34,"Fifty Shades of Grey (Fifty Shades, #1)",E.L. James,3.67,"Fifty Shades of Grey (Fifty Shades, #1) by E.L. James"
35,The Alchemist,"Paulo Coelho, Alan R. Clarke",3.82,"The Alchemist by Paulo Coelho, Alan R. Clarke"
36,"The Giver (The Giver, #1)",Lois Lowry,4.12,"The Giver (The Giver, #1) by Lois Lowry"
